"","r_id","collection"
"1",70765,"Corporate Dining"
"2",66497,"Late Night Eats"
"3",70497,"Romantic"
"4",70890,"Pocket Friendly"
"5",69024,"All-day Dining"
"6",67454,"Kickass Burgers"
"7",66498,"All-day Dining"
"8",71000,"Rooftops"
"9",301605,"Rooftops"
"10",900,"Legendary Restaurants"
"11",310455,"Microbreweries"
"12",309788,"Regional Favorites"
"13",310143,"Frozen Delights"
"14",463,"Legendary Restaurants"
"15",306503,"Student Faves"
"16",309331,"Meat Cravings"
"17",1819,"Kickass Burgers"
"18",3192,"Sweet Tooth"
"19",303912,"What's Your Poison?"
"20",305453,"Sweet Tooth"
"21",306134,"What's Your Poison?"
"22",308646,"Great Breakfasts"
"23",305905,"Kickass Burgers"
"24",2903,"Legendary Restaurants"
"25",799,"Legendary Restaurants"
"26",993,"Old Delhi Treats"
"27",307571,"Student Faves"
"28",307490,"Rooftops"
"29",3393,"Legendary Restaurants"
"30",301432,"Rooftops"
"31",899,"Regional Favorites"
"32",10632,"Romantic"
"33",4275,"Microbreweries"
"34",304299,"What's Your Poison?"
"35",303095,"Romantic"
"36",311834,"Outdoor Seating"
"37",309720,"Healthy Breakfast"
"38",1641,"What's Your Poison?"
"39",4815,"What's Your Poison?"
"40",305112,"Rooftops"
"41",305240,"Outdoor Seating"
"42",1244,"What's Your Poison?"
"43",24665,"Hot Night Clubs"
"44",1798,"What's Your Poison?"
"45",307565,"Kickass Burgers"
"46",7945,"Sweet Tooth"
"47",4741,"Rooftops"
"48",308741,"Pan-Asian Delicacies"
"49",301397,"Great Coffee"
"50",301444,"Kebab Places"
"51",8430,"Pan-Asian Delicacies"
"52",4907,"Hot Night Clubs"
"53",306340,"Brilliant Biryanis"
"54",8374,"Sweet Tooth"
"55",309549,"Romantic"
"56",2675,"Romantic"
"57",9618,"Great Breakfasts"
"58",307958,"Upper Crust"
"59",301677,"Street Food"
"60",3394,"Butter Chicken"
"61",309278,"Kickass Burgers"
"62",8697,"Pan-Asian Delicacies"
"63",801,"Butter Chicken"
"64",66,"Legendary Restaurants"
"65",7536,"Street Food"
"66",7070,"European & Mediterranean"
"67",8222,"Sunday Brunches"
"68",311720,"Healthy Breakfast"
"69",310406,"Cocktail Bars"
"70",311675,"Regional Favorites"
"71",4404,"Late Night Eats"
"72",1922,"Pan-Asian Delicacies"
"73",306341,"Kickass Burgers"
"74",300748,"Late Night Delivery"
"75",306334,"Upper Crust"
"76",304202,"Rooftops"
"77",304239,"Outdoor Seating"
"78",307454,"Regional Favorites"
"79",301045,"Sunday Brunches"
"80",305352,"Pan-Asian Delicacies"
"81",307190,"Pocket Friendly"
"82",304637,"Meat Cravings"
"83",68170,"Veggie Friendly"
"84",307274,"Outdoor Seating"
"85",7036,"Romantic"
"86",308239,"Brilliant Biryanis"
"87",70693,"Veggie Friendly"
"88",71069,"Veggie Friendly"
"89",66504,"Regional Favorites"
"90",4450,"Pocket Friendly"
"91",300661,"Butter Chicken"
"92",4268,"Sweet Tooth"
"93",103,"Veggie Friendly"
"94",67168,"Sunday Brunches"
"95",300065,"Pocket Friendly Bars"
"96",69054,"Pocket Friendly"
"97",2789,"Sunday Brunches"
"98",306805,"Regional Favorites"
"99",4156,"Kebab Places"
"100",309462,"Pocket Friendly Bars"
"101",66119,"What's Your Poison?"
"102",65970,"Legendary Restaurants"
"103",301003,"Kickass Burgers"
"104",7634,"Regional Favorites"
"105",9529,"Street Food"
"106",305125,"Rooftops"
"107",71265,"Sweet Tooth"
"108",306167,"Sweet Tooth"
"109",3954,"Hot Night Clubs"
"110",304897,"Healthy Breakfast"
"111",306461,"Regional Favorites"
"112",872,"Sweet Tooth"
"113",93096,"Shisha Hangouts"
"114",4092,"Pocket Friendly"
"115",301338,"Sweet Tooth"
"116",3355,"Hidden Gems"
"117",306520,"Sweet Tooth"
"118",303753,"Sweet Tooth"
"119",810,"Veggie Friendly"
"120",303094,"Pocket Friendly"
"121",1063,"Meat Cravings"
"122",64,"Meat Cravings"
"123",8627,"Sunday Brunches"
"124",304278,"Himalayan Cuisine"
"125",65696,"Sea View"
"126",70130,"Super Seafood"
"127",305997,"Outdoor Seating"
"128",5044,"Romantic"
"129",307284,"What's Your Poison?"
"130",305170,"Brilliant Biryanis"
"131",980,"Butter Chicken"
"132",301007,"Regional Favorites"
"133",1155,"Frozen Delights"
"134",3910,"Sunday Brunches"
"135",2699,"Late Night Eats"
"136",3208,"Hot Night Clubs"
"137",309543,"Regional Favorites"
"138",70923,"Sweet Tooth"
"139",313055,"Newly Opened"
"140",310332,"Rooftops"
"141",1654,"Kebab Places"
"142",308553,"Late Night Delivery"
"143",300184,"Regional Favorites"
"144",310665,"Late Night Delivery"
"145",304655,"Hot Night Clubs"
"146",309477,"Late Night Delivery"
"147",305673,"Great Coffee"
"148",9646,"Regional Favorites"
"149",306188,"Romantic"
"150",308802,"Pocket Friendly"
"151",308357,"Kickass Burgers"
"152",300178,"Old Delhi Treats"
"153",91843,"Beer in a Bar"
"154",305790,"Late Night Delivery"
"155",307661,"Brilliant Biryanis"
"156",308434,"Hot Night Clubs"
"157",8611,"Veggie Friendly"
"158",91781,"Frozen Delights"
"159",2700,"Kebab Places"
"160",94494,"Best Shawarmas"
"161",7786,"Microbreweries"
"162",307093,"Pocket Friendly Bars"
"163",306447,"Himalayan Cuisine"
"164",309320,"Late Night Delivery"
"165",307137,"Late Night Delivery"
"166",312567,"Newly Opened"
"167",3347,"Himalayan Cuisine"
"168",8418,"Student Faves"
"169",311515,"Late Night Delivery"
"170",309475,"Kebab Places"
"171",7068,"Frozen Delights"
"172",69091,"Home Bakers"
"173",97499,"Newly Opened"
"174",69858,"Home Bakers"
"175",17977947,"Newly Opened"
"176",97755,"Newly Opened"
"177",71587,"Pocket Friendly"
"178",97763,"Newly Opened"
"179",97780,"Newly Opened"
"180",70552,"Kebab Places"
"181",307218,"Old Delhi Treats"
"182",307876,"Healthy Breakfast"
"183",7768,"Regional Favorites"
"184",304373,"Pocket Friendly"
"185",311311,"Hidden Gems"
"186",6808,"Pan-Asian Delicacies"
"187",307432,"Business Dining"
