"r_id","cuisine"
70765,"Italian"
66497,"North Indian"
70497,"Italian"
70890,"Italian"
69024,"European"
67454,"American"
70393,"North Indian"
66498,"Desserts"
71000,"North Indian"
301605,"American"
900,"South Indian"
310455,"Finger Food"
309788,"Parsi"
310143,"Ice Cream"
463,"Mughlai"
306503,"Cafe"
309331,"American"
1819,"American"
3192,"Italian"
303912,"Continental"
305453,"Asian"
306134,"Italian"
308646,"Continental"
305905,"Finger Food"
2903,"North Indian"
799,"North Indian"
993,"Mughlai"
307571,"Cafe"
307490,"American"
3466,"Chinese"
3393,"North Indian"
310779,"Italian"
301432,"Finger Food"
2786,"North Indian"
899,"South Indian"
310463,"Pizza"
10632,"Chinese"
4275,"North Indian"
304299,"Italian"
3083,"Chinese"
303095,"African"
311834,"Italian"
309720,"Healthy Food"
8188,"North Indian"
310490,"North Indian"
1641,"Chinese"
3600096,"North Indian"
306497,"North Indian"
301114,"Fast Food"
4815,"Continental"
305112,"North Indian"
305240,"Finger Food"
4398,"North Indian"
7855,"Desserts"
1244,"American"
1793,"Asian"
3600234,"North Indian"
24665,"Italian"
5913,"North Indian"
308584,"North Indian"
1798,"Chinese"
307565,"American"
7945,"Desserts"
311146,"Continental"
4741,"Chinese"
310395,"Italian"
308741,"Chinese"
65717,"Continental"
3600142,"North Indian"
3600366,"North Indian"
303653,""
9354,"Asian"
2504,"North Indian"
301397,"Cafe"
3409,"Chinese"
6542,"North Indian"
301444,"North Indian"
8430,"Asian"
307802,"North Indian"
66831,"Cafe"
3600159,"South Indian"
3600195,"South Indian"
4907,"Finger Food"
306340,"North Indian"
384,"Pizza"
9321,"Pakistani"
8374,"Bakery"
7500,"North Indian"
309549,"European"
2675,"Spanish"
1800,"North Indian"
65745,"Kerala"
3600283,"South Indian"
3600030,"Fast Food"
9618,"Italian"
309699,"Continental"
307958,"European"
301677,"Street Food"
3394,"North Indian"
309252,"American"
309278,"Cafe"
8697,"Asian"
801,"North Indian"
310719,"Italian"
3600027,"Seafood"
3600221,"South Indian"
306538,"Thai"
66,"North Indian"
7536,"Desserts"
7070,"Italian"
8222,"European"
311720,"Continental"
310406,"American"
5963,"Thai"
310097,"Italian"
311675,"South Indian"
3600054,"Continental"
3600363,"South Indian"
92113,"North Indian"
2693,"North Indian"
4404,"Continental"
1922,"Chinese"
306341,"American"
300748,"North Indian"
409,"Chinese"
8843,"North Indian"
306334,"Pizza"
304202,"French"
3600249,"Juices"
3600075,"South Indian"
3600250,"Juices"
95529,"Healthy Food"
304239,"Italian"
309390,"North Indian"
310911,"Healthy Food"
307454,"South Indian"
7224,"Cafe"
301045,"Middle Eastern"
305352,"Chinese"
307190,"Fast Food"
304637,"Spanish"
305833,"Desserts"
69780,"North Indian"
68170,"North Indian"
46564,"Finger Food"
70598,"North Indian"
92693,"Mughlai"
2913,"North Indian"
307274,"Italian"
306128,"Italian"
311982,"European"
7036,"French"
2234,"Lebanese"
