r_latitude,city,rating,r_name,area,cuisines,r_type,rating_votes,r_longitude,reviews,photos,cost,collections,r_id,link,bookmarks,checkins,r_address
,Chennai,,The Burger Bay,Selaiyur,"['Fast Food', 'American']",Quick Bites,,,,,200,,71860,https://www.zomato.com/chennai/the-burger-bay-1-selaiyur,,,"No. 1, Madambakkam Main Road, , Chennai "
,Chennai,,Le Quench,T. Nagar,"['Juices', 'Beverages']",Beverage Shop,,,,,200,,71983,https://www.zomato.com/chennai/le-quench-t-nagar,,,"69, North Usman Road, , Chennai "
13.0598916667,Chennai,,Parammakadi Biryani Fast Food,Maduravoyal,"['Biryani', 'Fast Food']",Quick Bites,,80.1650777778,,,200,,69525,https://www.zomato.com/chennai/parammakadi-biryani-fast-food-maduravoyal,,,"5/17, Alappakkam Main Road, Erikarai, , Chennai "
13.0960138889,Chennai,,Dheen Biriyani,George Town,['Biryani'],Quick Bites,,80.2909777778,,,200,,68320,https://www.zomato.com/chennai/dheen-biriyani-george-town,,,"2, Mannady, , Chennai "
13.0650861111,Chennai,,Karthik Hotel,Maduravoyal,['South Indian'],Quick Bites,,80.1747277778,,,150,,69598,https://www.zomato.com/chennai/karthik-hotel-maduravoyal,,,"4/272, MMDA Colony, , Chennai "
13.0368138889,Chennai,,Omar Khayyam,T. Nagar,"['North Indian', 'Chinese', 'South Indian']",Quick Bites,,80.2310472222,,,450,,71182,https://www.zomato.com/chennai/omar-khayyam-1-t-nagar,,,"37/4D, Mothilal Street, , Chennai "
13.0580583333,Chennai,,Hotel Omsakthi Bhavan,Maduravoyal,['South Indian'],Quick Bites,,80.1657027778,,,150,,69514,https://www.zomato.com/chennai/hotel-omsakthi-bhavan-maduravoyal,,,"1 A, Alappakkam Main Road, , Chennai "
13.068986,Chennai,,Hotel Raja Vilas,Egmore,['South Indian'],Quick Bites,,80.257114,,,150,,67112,https://www.zomato.com/chennai/hotel-raja-vilas-egmore,,,"88/66, High Road, Egmore, Chennai "
,Chennai,,CBH,Nungambakkam,"['Fast Food', 'Biryani']",Quick Bites,,,,,400,,72007,https://www.zomato.com/chennai/cbh-nungambakkam,,,"38, Near Valluvar Kottam Signal, Kodambakkam High Road, , Chennai "
13.067045,Chennai,,Bismilla Briyani,George Town,['Biryani'],Quick Bites,,80.273457,,,150,,68464,https://www.zomato.com/chennai/bismilla-briyani-george-town,,,"33, Moore Street, Mannady, , Chennai "
12.9685,Chennai,,Jayanthi Hotel,Madipakkam,['South Indian'],Quick Bites,,80.189557,,,250,,69368,https://www.zomato.com/chennai/jayanthi-hotel-madipakkam,,,"135/9, Medavakkam Main Road, Puzhuthivakam, , Chennai "
13.047997,Chennai,,Garden Fresh,Vadapalani,"['Juices', 'Beverages']",Beverage Shop,,80.210666,,,100,,69769,https://www.zomato.com/chennai/garden-fresh-vadapalani,,,"156, West Sivan Koil Street, , Chennai "
12.9415444444,Chennai,,Mohamad Arshath,Medavakkam,['Biryani'],Quick Bites,,80.1846694444,,,250,,69483,https://www.zomato.com/chennai/mohamad-arshath-medavakkam,,,"483, Road, Kovilambakkam, Keelkattalai, Medavakkam, Chennai "
13.036119,Chennai,,Thanjai Thalappakattu Biriyani,K.K. Nagar,"['North Indian', 'Chinese']",Quick Bites,,80.201728,,,200,,67536,https://www.zomato.com/chennai/thanjai-thalappakattu-biriyani-k-k-nagar,,,"38/92, Anna Main Road, M.G.R Nagar, , Chennai "
13.03916,Chennai,,Hotel J.M,Valasaravakkam,['South Indian'],Quick Bites,,80.1694516667,,,300,,68401,https://www.zomato.com/chennai/hotel-j-m-valasaravakkam,,,"120, Arcot Road, , Chennai "
13.061071,Chennai,,Hotel Lakshmi,Maduravoyal,['South Indian'],Quick Bites,,80.163838,,,150,,69588,https://www.zomato.com/chennai/hotel-lakshmi-maduravoyal,,,"1, Seniamman Koil Street, Om Sakthi Nagar, Vanagaram, , Chennai "
,Chennai,,Jamals Fried Chicken,Poonamalle,['Fast Food'],Quick Bites,,,,,500,,71897,https://www.zomato.com/chennai/jamals-fried-chicken-poonamalle,,,"Shop 30, Kundrathur Main Road, Kumananchavadi, , Chennai "
13.0704666667,Chennai,,Hotel Muneyende Velas,Maduravoyal,"['South Indian', 'North Indian']",Quick Bites,,80.1829083333,,,150,,69601,https://www.zomato.com/chennai/hotel-muneyende-velas-maduravoyal,,,"1, Kamiamnan Koil Main Road, Laxmi Nagar, Kamaraj Street, , Chennai "
13.0258805556,Chennai,,Dharshika Fresh Juice,Porur,"['Juices', 'Beverages']",Beverage Shop,,80.1669527778,,,100,,69651,https://www.zomato.com/chennai/dharshika-fresh-juice-porur,,,"51, Mugalivakkam Road, Mugalivakkam, , Chennai "
13.0482083333,Chennai,,R.R. Fast Food,Valasaravakkam,"['Fast Food', 'South Indian']",Quick Bites,,80.1775033333,,,200,,68290,https://www.zomato.com/chennai/r-r-fast-food-valasaravakkam,,,"37, Sridevi Kuppam Road, , Chennai "
,Chennai,,Relish Smoothies,Alwarpet,"['Desserts', 'Healthy Food', 'Beverages']",Beverage Shop,,,,,350,,71981,https://www.zomato.com/chennai/relish-smoothies-1-alwarpet,,,"162/7, TTK Road, , Chennai "
13.039445,Chennai,,Tasty Foods,Teynampet,"['South Indian', 'Chinese']",Quick Bites,,80.24558,,,200,,68407,https://www.zomato.com/chennai/tasty-foods-teynampet,,,"212, Thiyagaraya Road, , Chennai "
,Chennai,,Thalappakattu Briyani and Fast Food,Perambur,['Biryani'],Casual Dining,,,,,200,,71400,https://www.zomato.com/chennai/thalappakattu-briyani-and-fast-food-perambur,,,"36/75, Paper Mills Road, , Chennai "
13.0287611111,Chennai,,Corner Snacks,Alwarpet,"['Juices', 'Beverages']",Beverage Shop,,80.2564916667,,,100,,68408,https://www.zomato.com/chennai/corner-snacks-alwarpet,,,"145, Marys Road, , Chennai "
,Chennai,,Quality Fast Food,Anna Nagar East,"['Fast Food', 'Chinese']",Quick Bites,,,,,,,72012,https://www.zomato.com/chennai/quality-fast-food-anna-nagar-east,,,"No-41, 1st Main Road, 1st Avenue, G-Block, VOC Nagar, , Chennai "
,Chennai,,Bakealicious,Anna Nagar East,['Desserts'],Bakery,,,,,800,,72009,https://www.zomato.com/chennai/bakealicious-anna-nagar-east,,,"D-24, 324, 5th Street, , Chennai "
13.1277,Chennai,,SRI Sweets & Bakery,Washermenpet,['Bakery'],Bakery,,80.290162,,,200,,68986,https://www.zomato.com/chennai/sri-sweets-bakery-washermenpet,,,"638/1, Thiruvottriyur High Road, Tondiarpet, , Chennai "
,Chennai,,Sri Annalakshmi,Sholinganallur,['South Indian'],Quick Bites,,,,,200,,72011,https://www.zomato.com/chennai/sri-annalakshmi-sholinganallur,,,"10, Anna Street, , Chennai "
,Chennai,,Drive & Digest,Poonamalle,"['South Indian', 'North Indian', 'Chinese', 'Thai', 'Continental']",Casual Dining,,,,,600,,66366,https://www.zomato.com/chennai/drive-digest-poonamalle,,,"Chennai Bangalore Trunk Road, , Chennai "
,Chennai,,Frootster,Teynampet,"['Juices', 'Beverages', 'Fast Food']",Beverage Shop,,,,,250,,71984,https://www.zomato.com/chennai/frootster-teynampet,,,"14/43, Elango Salai, , Chennai "
13.12585,Chennai,,Sree Kaanchi Hotel,Washermenpet,['South Indian'],Quick Bites,,80.2914361111,,,200,,68966,https://www.zomato.com/chennai/sree-kaanchi-hotel-washermenpet,,,"54, Kummalamman Koil Street, Tondairpet, , Chennai "
12.920033,Chennai,,Bite & Sip,Medavakkam,['Fast Food'],Quick Bites,,80.183386,,,300,,69968,https://www.zomato.com/chennai/bite-sip-medavakkam,,,"5/539A, Velachery Main Road, Kuttu Road, , Chennai "
13.139462,Chennai,,Udipi Hotel Venkateshwara,Washermenpet,['South Indian'],Quick Bites,,80.294842,,,150,,67050,https://www.zomato.com/chennai/udipi-hotel-venkateshwara-washermenpet,,,"59, Tiruvottiyur High Road, Tondiarpet, , Chennai "
13.0883805556,Chennai,,New Hyderabad Biriyani,Parrys,['Biryani'],Quick Bites,,80.2854,,,250,,68313,https://www.zomato.com/chennai/new-hyderabad-biriyani-parrys,,,"200, N.S.C Bose Road, , Chennai "
12.95485,Chennai,,Jaya Hotel,Neelangarai,"['North Indian', 'Chinese']",Quick Bites,,80.255048,,,150,,68389,https://www.zomato.com/chennai/jaya-hotel-neelangarai,,,"655, East Coast Road (ECR), , Chennai "
13.060889,Chennai,,Amana Tea Coffee,Maduravoyal,"['Juices', 'Desserts']",Quick Bites,,80.164176,,,150,,69535,https://www.zomato.com/chennai/amana-tea-coffee-maduravoyal,,,"2, Poonamallee High Road, Vanagaram, , Chennai "
13.04724,Chennai,,Jyothi  Cafe,T. Nagar,['South Indian'],Quick Bites,,80.2350833333,,,150,,68164,https://www.zomato.com/chennai/jyothi-cafe-t-nagar,,,"53A, North Usman Road, , Chennai "
,Chennai,,New Rolex Bakery & Sweets,Tambaram,['Bakery'],Bakery,,,,,100,,71707,https://www.zomato.com/chennai/new-rolex-bakery-sweets-tambaram,,,"No. 20, Muthuranga Mudali Street, Opposite Post Office, Tambaram, Chennai "
13.076477,Chennai,,Victoria Kabab Center,Egmore,"['North Indian', 'Fast Food']",Quick Bites,,80.262513,,,400,,70504,https://www.zomato.com/chennai/victoria-kabab-center-egmore,,,"Hotel Victoria, 3, Kennet Lane, , Chennai "
12.8300083333,Chennai,,Hotel Sri Lakshmi Bahrgavi,GST Road,['South Indian'],Quick Bites,,80.0454027778,,,80,,70272,https://www.zomato.com/chennai/hotel-sri-lakshmi-bahrgavi-gst-road,,,"47, Shanmugapriya Nagar, Potheri, , Chennai "
,Chennai,,Shree Chaats,Adyar,['Street Food'],Quick Bites,,,,,250,,71513,https://www.zomato.com/chennai/shree-chaats-adyar,,,"15, 2nd Street, Nehru Nagar, , Chennai "
13.0770583333,Chennai,,Hotel Sri Jaya,Egmore,['South Indian'],Quick Bites,,80.2623444444,,,150,,67069,https://www.zomato.com/chennai/hotel-sri-jaya-egmore,,,"22, Kennete Lane, , Chennai "
13.0411616667,Chennai,,Nellaiyappar Chettinadu Restaurant,T. Nagar,"['Chettinad', 'South Indian', 'Chinese']",Quick Bites,,80.2381283333,,,500,,66715,https://www.zomato.com/chennai/nellaiyappar-chettinadu-restaurant-t-nagar,,,"27, Gopalakrishnan Street, Pondy Bazar, Sir Thyagaraya Road, , Chennai "
13.063867,Chennai,,Hotel Sree Nagalthaman,Maduravoyal,"['North Indian', 'South Indian']",Quick Bites,,80.167763,,,200,,69597,https://www.zomato.com/chennai/hotel-sree-nagathaman-maduravoyal,,,"27, MSP Street, , Chennai "
13.03415,Chennai,,Mayuri Restaurant & Fast Foods,Porur,"['North Indian', 'Chinese']",Casual Dining,,80.1555166667,,,450,,67521,https://www.zomato.com/chennai/mayuri-restaurant-fast-foods-porur,,,"2, Kundrathur Road, , Chennai "
,Chennai,,Treat Corner,Avadi,['Fast Food'],Casual Dining,,,,,250,,71141,https://www.zomato.com/chennai/treat-corner-avadi,,,"2651, Tamil Nadu Housing Board, LIG 2, , Chennai "
12.9736444444,Chennai,,Heaven Park,Velachery,['North Indian'],Casual Dining,,80.2194138889,,,650,,70665,https://www.zomato.com/chennai/heaven-park-velachery,,,"28, 5th Main Road, Vijaya Nagar, , Chennai "
,Chennai,,Bell Hotel,Park Town,"['South Indian', 'North Indian']",Casual Dining,,,,,500,,71999,https://www.zomato.com/chennai/bell-hotel-park-town,,,"No. 47, Poonamallee High Road, Near Central Railway Station, Periamet, , Chennai "
12.925273,Chennai,,Bismillah Restaurant,Tambaram,"['North Indian', 'Mughlai']",Quick Bites,,80.100683,,,400,,69810,https://www.zomato.com/chennai/bismillah-restaurant-tambaram,,,"30, Kamraj Street, Gandhi Nagar, Peerkankaranai, , Chennai "
